504.0,1.0
505.0,1.0
506.0,1.0
507.0,0.0
508.0,1.0
509.0,0.0
510.0,1.0
511.0,1.0
512.0,0.0
513.0,1.0
514.0,1.0
515.0,1.0
516.0,0.0
517.0,0.0
518.0,1.0
519.0,1.0
520.0,1.0
521.0,0.0
522.0,1.0
523.0,1.0
524.0,1.0
525.0,1.0
526.0,0.0
527.0,0.0
528.0,1.0
529.0,1.0
530.0,1.0
531.0,0.0
532.0,1.0
533.0,0.0
534.0,1.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,1.0
540.0,1.0
541.0,0.0
542.0,0.0
543.0,1.0
544.0,1.0
545.0,1.0
546.0,1.0
547.0,1.0
548.0,1.0
549.0,0.0
550.0,1.0
551.0,1.0
552.0,1.0
553.0,1.0
554.0,1.0
555.0,1.0
556.0,1.0
557.0,0.0
558.0,1.0
559.0,1.0
